Id,Code,Name,Retired,North Limit,South Limit,West Limit,East Limit
273,anl,Anu,,23.415,23.285,98.497,98.692
274,anm,Anal,,24.185,23.877,94.056,94.528
275,ann,Obolo,,4.742,4.478,7.52,8.12
276,ano,Andoque,,-0.417,-0.655,-72.299,-71.875
277,anp,Angika,,24.465,24.214,86.983,87.269
278,anq,Jarawa,,11.895,11.345,92.593,92.723
279,anr,Andh,,19.776,19.064,77.079,78.352
280,ans,Anserma,,6.24999,6.24999,-76.05,-76.05
281,ant,Antakarinya,,-26.775,-27.5,134.348,135.328
282,anu,Anuak,,8.249,6.341,33.1,35.141
283,anv,Denya,,6.243,5.747,9.135,9.665
284,anw,Anaang,,5.177,4.712,7.384,7.776
285,anx,Andra-Hus,,-1.93,-1.942,147.004,147.14
286,any,Anyin,,8.047,5.219,-4.856,-2.582
287,anz,Anem,,-5.457,-5.629,148.795,149.192
288,aoa,Angolar,,0.158,-0.014,6.514,6.675
289,aob,Abom,,-8.328,-8.517,142.751,142.934
290,aoc,Pemon,,6.531,3.863,-63.483,-60.394
291,aod,Andarum,,-4.429,-4.548,144.632,144.901
292,aoe,Angal Enen,,-6.12,-6.347,143.505,143.661
293,aof,Bragat,,-3.456,-3.52,142.468,142.521
294,aog,Angoram,,-3.934,-4.29,143.673,144.383
295,aoh,Arma,,2.03332,2.03332,-76,-76
296,aoi,Anindilyakwa,,-13.617,-14.357,136.104,136.983
297,aoj,Mufian,,-3.451,-3.721,142.872,143.037
298,aok,Arhö,,-21.259,-21.389,165.092,165.229
299,aol,Alor,,-8.174,-8.409,123.891,124.523
300,aom,Ömie,,-8.949,-9.111,147.962,148.252
301,aon,Arapesh, Bumbita,,-3.601,-3.709,142.791,142.928
302,aor,Aore,,-15.531,-15.61,167.116,167.217
303,aos,Taikat,,-2.835,-3.051,140.588,140.911
304,aot,A'tong,,25.346508,25.346508,90.658722,90.658722
305,aox,Atorada,,3.078,1.658,-61.811,-58.947
306,aoz,Uab Meto,,-9.003,-10.375,123.449,124.839
307,apb,Sa'a,,-9.463,-10.296,161.37,161.99
308,apc,Arabic, North Levantine Spoken,,36.846,33.055,35.114,37.546
309,apd,Arabic, Sudanese Spoken,,17.8021,17.8021,33.3179,33.3179
310,ape,Bukiyip,,-3.341,-3.652,142.864,143.357
312,apg,Ampanang,,-0.468,-1.101,115.999,116.699
313,aph,Athpariya,,26.925,26.845,87.274,87.385
314,api,Apiaká,,-7.68,-11.509,-58.133,-57.175
315,apj,Apache, Jicarilla,,37.011,36.599,-107.206,-106.808
316,apk,Apache, Kiowa,,34.945,34.863,-98.332,-98.16
317,apl,Apache, Lipan,,33.36,33.191,-105.929,-105.71
318,apm,Apache, Mescalero-Chiricahua,,34.753,32.979,-105.828,-98.408
319,apn,Apinayé,,-5.818,-6.407,-47.971,-47.292
320,apo,Apalik,,-6.279,-6.32,149.78,149.968
321,app,Apma,,-15.623,-15.897,168.113,168.265
322,apq,A-Pucikwar,,12.426,12.016,92.683,92.923
323,apr,Arop-Lokep,,-5.098,-5.526,146.941,147.833
324,aps,Arop-Sissano,,-3.028,-3.084,142.091,142.148
325,apt,Apatani,,27.478,26.9,93.415,94.042
326,apu,Apurinã,,-4.742,-9.018,-67.675,-62.138
327,apw,Apache, Western,,34.606,33.481,-111.854,-109.485
328,apx,Aputai,,-7.615,-7.894,126.37,126.544
329,apy,Apalaí,,1.831,1.096,-55.002,-54.49
330,apz,Safeyoka,,-6.631,-7.083,145.891,146.288
331,aqc,Archi,,42.378,42.267,46.795,46.858
332,aqg,Arigidi,,7.626,7.506,5.778,6.014
333,aqm,Atohwaim,,-6.16,-6.427,138.54,138.793
334,aqn,Alta, Northern,,15.721,15.668,121.421,121.487
335,aqr,Arhâ,,-21.23,-21.345,165.2,165.346
336,aqz,Akuntsu,,-12.8322,-12.8322,-60.9716,-60.9716
337,arb,Arabic, Standard,,27.9625,27.9625,43.8525,43.8525
338,ard,Arabana,,-28.189,-29.213,134.707,136.191
339,are,Arrarnta, Western,,-19.583,-25.566,131.778,134.715
340,arg,Aragonese,,42.847,41.608,-0.626,0.608
341,arh,Arhuaco,,10.789,10.592,-73.803,-73.469
342,ari,Arikara,,47.678,47.44,-102.617,-101.843
343,arj,Arapaso,,0.28,0.035,-67.949,-67.507
344,ark,Arikapú,,-12.016,-12.551,-64.183,-62.534
345,arl,Arabela,,-1.875,-2.063,-75.327,-74.796
346,arn,Mapudungun,,-36.89,-43.166,-73.533,-68.609
347,aro,Araona,,-12.341,-12.509,-67.849,-67.61
348,arp,Arapaho,,43.753,35.502,-109.474,-97.961
349,arq,Arabic, Algerian Spoken,,37.094,33.037,-2.215,8.676
350,arr,Karo,,-9.417,-10.519,-61.702,-61.056
